context_num,range,batch_num,piece_count
,,batch_024,6
,,batch_025,10
,,batch_026,6
,161-234,batch_027,15
,,batch_028,13
,,batch_029,15
,,batch_030,16
,,batch_031,15
,,batch_032,1
78,1-20,batch_000,5
,,batch_001,8
,,batch_002,4
,,batch_003,2
,,batch_004,1
,21-24,batch_005,1
,,batch_006,1
,,batch_007,1
,,batch_008,1
,25-37,batch_009,6
,,batch_010,1
,,batch_011,4
,,batch_012,2
,38-52,batch_013,15
79,1-21,batch_000,1
,,batch_001,1
,,batch_002,8
,,batch_003,8
,,batch_004,1
,,batch_005,1
,,batch_006,1
,,batch_007,1
,22-23,batch_008,1
,,batch_009,1
,16-23,batch_004,8
81,1-11,batch_000,1
,,batch_001,5
,,batch_002,2
,,batch_003,2
,,batch_004,1
84,1-19,batch_000,4
,,batch_001,11
,,batch_002,5
,20-44,batch_003,16
,,batch_004,9
85,1-28,batch_000,16
,,batch_001,7
,,batch_002,3
,,batch_003,2
,29-96,batch_004,15
,,batch_005,13
,,batch_006,15
,,batch_007,17
,,batch_008,8
86,1-19,batch_000,1
,,batch_001,1
,,batch_002,6
,,batch_003,5
,,batch_004,3
,,batch_005,2
,,batch_006,1
,20-62,batch_007,7
,,batch_008,1
,,batch_009,7
,,batch_010,6
,,batch_011,6
,,batch_012,1
,,batch_013,6
,,batch_014,7
,,batch_015,4
,63-93,batch_016,12
,,batch_017,9
,,batch_018,10
87,1-6,batch_000,6
,7-29,batch_001,14
,,batch_002,9
88,1-11,batch_000,4
,,batch_001,7
,12-20,batch_002,9
89,1-60,batch_000,2
,,batch_001,2
,,batch_002,6
,,batch_003,6
,,batch_004,6
,,batch_005,9
,,batch_006,6
,,batch_007,8
,,batch_008,9
,,batch_009,4
,,batch_010,2
,61-169,batch_011,11
,,batch_012,12
,,batch_013,11
,,batch_014,12
,,batch_015,14
,,batch_016,13
,,batch_017,14
,,batch_018,13
,,batch_019,6
,,batch_020,3
,171-179,batch_021,9
,170,batch_022,1
90,1-7,batch_000,1
,,batch_001,1
,,batch_002,5
,8-42,batch_003,5
,,batch_004,4
,,batch_005,6
,,batch_006,6
,,batch_007,4
,,batch_008,3
,,batch_009,7
,,batch_010,2
,,batch_011,1
,43-122,batch_012,12
,,batch_013,13
,,batch_014,15
,,batch_015,14
,,batch_016,14
,,batch_017,12
,123-206,batch_018,9
,,batch_019,15
,,batch_020,13
,,batch_021,15
,,batch_022,15
,,batch_023,9
,,batch_024,8
,207-283,batch_025,9
,,batch_026,9
,,batch_027,9
,,batch_028,11
,,batch_029,11
,,batch_030,6
,,batch_031,11
,,batch_032,7
,,batch_033,4
,284-398,batch_034,11
,,batch_035,11
,,batch_036,11
,,batch_037,13
,,batch_038,14
,,batch_039,13
,,batch_040,14
,,batch_041,15
,,batch_042,14
,399-407,batch_043,9
,408-416,batch_044,1
,,batch_045,5
,,batch_046,3
,417-505,batch_047,9
,,batch_048,7
,,batch_049,6
,,batch_050,11
,,batch_051,9
,,batch_052,10
,,batch_053,6
,,batch_054,15
,,batch_055,10
,,batch_056,3
,,batch_057,3
,506-531,batch_058,1
,,batch_059,2
,,batch_060,6
,,batch_061,2
,,batch_062,2
,,batch_063,3
,,batch_064,3
,,batch_065,4
,,batch_066,3
91,1-40,batch_000,12
,,batch_001,6
,,batch_002,11
,,batch_003,9
,,batch_004,2
,41-78,batch_005,8
,,batch_006,6
,,batch_007,10
,,batch_008,14
,79-96,batch_009,1
,,batch_010,1
,,batch_011,7
,,batch_012,4
,,batch_013,2
,,batch_014,2
,,batch_015,2
,97-180,batch_016,15
,,batch_017,16
,,batch_018,10
,,batch_019,16
,,batch_020,14
,,batch_021,13
,181-289,batch_022,7
,,batch_023,10
,,batch_024,8
,,batch_025,12
,,batch_026,17
,,batch_027,25
,,batch_028,30
,290-338,batch_029,11
,,batch_030,13
,,batch_031,16
,,batch_032,9
,339-399,batch_033,5
,,batch_034,7
,,batch_035,10
,,batch_036,14
,,batch_037,25
,400-422,batch_038,5
,,batch_039,7
,,batch_040,11
,,batch_041,4
,,batch_042,11
,,batch_043,17
,,batch_044,22
92,1-23,batch_000,12
,,batch_001,12
,24-56,batch_002,8
,,batch_003,8
,,batch_004,10
,,batch_005,5
,,batch_006,2
,57-206,batch_007,18
,,batch_008,16
,,batch_009,15
,,batch_010,19
,,batch_011,18
,,batch_012,18
,,batch_013,16
,,batch_014,15
,,batch_015,15
,207-326,batch_016,15
,,batch_017,13
,,batch_018,13
,,batch_019,13
,,batch_020,13
,,batch_021,11
,,batch_022,14
,,batch_023,8
,,batch_024,12
,,batch_025,6
,,batch_026,3
,327-359,batch_027,6
,,batch_028,8
,,batch_029,9
,,batch_030,6
,,batch_031,4
,360-367,batch_032,4
,,batch_033,2
,,batch_034,2
,368-433,batch_035,13
,,batch_036,15
,,batch_037,13
,,batch_038,14
,,batch_039,11
94,1-4,batch_000,4
,5-18,batch_001,14
95,1-65,batch_000,13
,,batch_001,15
,,batch_002,17
,,batch_003,6
,,batch_004,14
,66-136,batch_005,10
,,batch_006,15
,,batch_007,16
,,batch_008,17
,,batch_009,8
,,batch_010,5
,137-187,batch_011,1
,,batch_012,7
,,batch_013,6
,,batch_014,9
,,batch_015,6
,,batch_016,11
,,batch_017,8
,,batch_018,3
96,1-74,batch_000,9
,,batch_001,6
,,batch_002,12
,,batch_003,14
,,batch_004,14
,,batch_005,20
,75-124,batch_006,7
,,batch_007,10
,,batch_008,15
,,batch_009,18
,125-156,batch_010,5
,,batch_011,9
,,batch_012,7
,,batch_013,11
,157-188,batch_014,5
,,batch_015,8
,,batch_016,13
,,batch_017,3
,,batch_018,2
,,batch_019,1
98,1-56,batch_000,7
,,batch_001,16
,,batch_002,17
,,batch_003,16
99,1-33,batch_000,19
,,batch_001,14
118,1,batch_000,1
117 or 119,1-51,batch_000,11
,,batch_001,6
,,batch_002,8
,,batch_003,3
,,batch_004,9
,,batch_005,6
,,batch_006,6
,,batch_007,3
128,1-5,batch_000,1
,,batch_001,1
,,batch_002,2
,,batch_003,1
,6-16,batch_004,2
,,batch_005,4
,,batch_006,1
,,batch_007,1
,,batch_008,2
,,batch_009,1
,17-34,batch_010,7
,,batch_011,5
,,batch_012,3
,,batch_013,3
,35-52,batch_014,1
,,batch_015,10
,,batch_016,5
,,batch_017,2
,53-76,batch_018,1
,,batch_019,14
,,batch_020,7
,,batch_021,2
,77-83,batch_022,1
,,batch_023,1
,,batch_024,2
,,batch_025,2
,,batch_026,1
,84-115,batch_027,5
,,batch_028,11
,,batch_029,12
,,batch_030,3
,,batch_031,1
,116-140,batch_032,8
,,batch_033,8
,,batch_034,5
,,batch_035,5
,141-188,batch_036,15
,,batch_037,12
,,batch_038,11
,,batch_039,10
,189-209,batch_040,10
,,batch_041,11
,,batch_042,15
,,batch_043,18
,,batch_044,18
,,batch_045,19
,,batch_046,13
,,batch_047,4
